Gene Symbol,Report Type,Report PMID,Primary Disorder(s),Associated Disorder(s)
CUL3,Support,37428799,ASD,
CUL3,Support,37506195,ASD,
CUL3,Support,37558490,"ASD, schizophrenia",
CUL3,Support,38233464,ASD,
CUL7,Primary,25363768,ASD,
CUL7,Support,25961944,ASD,
CUL7,Support,27824329,ASD,
CUL7,Support,30564305,ASD,
CUL7,Support,31398340,ASD,
CUL7,Support,31452935,ASD,
CUL7,Support,35205252,ASD,
CUL7,Support,35982159,ASD,
CUX1,Support,20510857,,
CUX1,Support,22180456,,
CUX1,Support,25363760,ASD,
CUX1,Primary,27667684,ASD,
CUX1,Support,30014507,DD,"ID, ASD"
CUX1,Support,31038196,ASD,
CUX1,Support,34968013,ASD,
CUX1,Support,35205252,ASD,
CUX1,Support,35581205,Epilepsy/seizures,"ASD, DD, ID"
CUX1,Support,35982159,ASD,
CUX1,Support,36309498,ASD,
CUX1,Support,36702863,ASD,
CUX1,Support,36881370,ASD,
CUX1,Recent Recommendation,37644171,"DD, ID","ASD, ADHD, epilepsy/seizures"
CUX2,Highly Cited,15238450,,
CUX2,Highly Cited,15452856,,
CUX2,Support,18033766,,
CUX2,Support,20510857,,
CUX2,Primary,25363760,ASD,
CUX2,Recent Recommendation,29630738,"Epilepsy/seizures, ID","Autistic features, stereotypies"
CUX2,Support,29795476,"ASD, ID, epilepsy/seizures",
CUX2,Support,31708105,,
CUX2,Support,35205252,ASD,
CUX2,Support,35571021,Epilepsy/seizures,
CUX2,Support,35581205,Epilepsy/seizures,ID
CUX2,Support,35982159,ASD,
CUX2,Support,36320054,ASD,
CUX2,Support,38256266,ASD,"ADHD, ID, epilepsy/seizures"
CUX2,Support,38321498,"ASD, DD, ID",
CX3CR1,Support,18762240,ASD,
CX3CR1,Primary,24487234,,
CX3CR1,Recent Recommendation,28763059,"ASD, SCZ",
CX3CR1,Support,37506195,ASD,
CXCR3,Highly Cited,12782716,,
CXCR3,Highly Cited,15456824,,
CXCR3,Recent Recommendation,19115931,,
CXCR3,Recent Recommendation,19919575,,
CXCR3,Primary,20479760,ASD,SCZ
CXCR3,Support,22511880,ASD,
CXCR3,Support,23352160,ASD,
CXCR3,Support,31398340,ASD,
CXCR3,Highly Cited,9466968,,
CYFIP1,Support,11438699,,
CYFIP1,Support,20029941,ASD,
CYFIP1,Primary,22346768,ASD,ID
CYFIP1,Support,23999528,ASD,
CYFIP1,Recent Recommendation,24050404,,
CYFIP1,Positive Association,24442360,ASD,
CYFIP1,Recent Recommendation,24667445,,
CYFIP1,Recent Recommendation,24996170,,
CYFIP1,Recent Recommendation,25311365,,
CYFIP1,Positive Association,26094621,ASD,
CYFIP1,Recent Recommendation,26824476,,
CYFIP1,Recent Recommendation,26843638,,
CYFIP1,Support,26845707,ASD,
CYFIP1,Positive Association,27351196,Inter-individual variation in surface area across ,
CYFIP1,Support,29752658,,
CYFIP1,Recent Recommendation,30784587,,
CYFIP1,Support,32200800,,
CYFIP1,Support,34031371,"ASD, SCZ",
CYFIP1,Support,35982159,ASD,
CYFIP1,Support,37545882,ASD,
CYFIP1,Support,37573007,"ASD, schizophrenia",
CYFIP1,Support,37704042,"DD, ID, epilepsy/seizures",Autistic features
CYFIP1,Support,38483902,Chromosome 15q11.2 deletion syndrome,"ASD, SCZ"
CYLC2,Primary,21658582,ASD,
CYLC2,Support,23765050,ASD,
CYLC2,Recent Recommendation,26817790,,
CYLC2,Support,37506195,ASD,
CYP11B1,Highly Cited,10828825,,
CYP11B1,Recent Recommendation,19029289,,
CYP11B1,Primary,19598235,ASD,Asperger syndrome
CYP11B1,Highly Cited,8506298,,
CYP27A1,Highly Cited,16816916,Cerebrotendinous xanthomatosis,
CYP27A1,Primary,28894950,Cerebrotendinous xanthomatosis,ASD
CYP27A1,Support,31398340,ASD,
CYP27A1,Support,32349000,Cerebrotendinous xanthomatosis,ASD
CYP27A1,Support,34145886,"DD, epilepsy/seizures",
CYP27A1,Support,35982159,ASD,
DAB1,Highly Cited,10571241,,
DAB1,Primary,15820235,ASD,
DAB1,Recent Recommendation,19272360,,
DAB1,Recent Recommendation,19796633,,
DAB1,Support,23275889,ASD,
DAB1,Support,27184477,,
DAB1,Highly Cited,9338785,,
DAGLA,Primary,23275889,ASD,
DAGLA,Support,27219343,"ASD, SCZ",
DAGLA,Support,29145497,,
DAGLA,Support,29458998,,
DAGLA,Support,31673123,TS,
DAGLA,Support,35396579,Schizophrenia,
DAGLA,Support,35982159,ASD,
DAPK1,Highly Cited,10995806,,
DAPK1,Primary,16709250,ASD,
DAPK1,Recent Recommendation,16847012,AD,
DAPK1,Support,25363768,ASD,
DAPK1,Support,27525107,ASD,
DAPK1,Support,35205252,ASD,
DAPK1,Support,35982159,ASD,
DAPK1,Support,36881370,ASD,
DAPK1,Support,37047515,,
DAPK1,Support,37393044,ASD,
DAPP1,Primary,23275889,ASD,
DAPP1,Support,31771860,OCD,
DAPP1,Support,35982159,ASD,
DCC,Positive Association,29700475,Depression,
DCC,Positive Association,30718901,Depression,
DCC,Primary,32606422,ASD,
DCC,Support,37492102,ASD,
DCC,Support,37506195,ASD,
DCC,Support,38287090,ASD,
DCTN5,Highly Cited,10525537,,
DCTN5,Recent Recommendation,21440632,,
DCTN5,Primary,21572417,ASD,
DCTN5,Support,35982159,ASD,
DCUN1D1,Primary,10777668,ASD,
DCUN1D1,Highly Cited,12796399,,
DCUN1D1,Recent Recommendation,15988528,,
DCX,Primary,11857568,ASD,
DCX,Recent Recommendation,16835924,,
DCX,Recent Recommendation,16869982,,
DCX,Support,22511880,ASD,
DCX,Positive Association,23934111,Epilepsy,"IS, LGS, DD, ID, ASD, ADHD"
DCX,Support,28392909,Childhood disintegrative disorder,
DCX,Support,31130284,"DD, ID",Autistic features
DCX,Support,34145886,"DD, epilepsy/seizures",
DCX,Support,34580403,"DD, ID, epilepsy/seizures",
DCX,Support,35741772,ASD,
DCX,Highly Cited,9489699,X-linked lissencephaly-1,
DCX,Highly Cited,9489700,X-linked lissencephaly-1,
DCX,Highly Cited,9817918,LIS,
DDC,Negative Association,11992572,ASD,
DDC,Primary,22397633,ASD,
DDC,Support,33431980,ASD,
DDC,Support,34582790,DD,
DDC,Support,35982159,ASD,
DDC,Support,37506195,ASD,
DDC,Support,37799141,DD,
DDHD2,Support,24035194,ASD,
DDHD2,Support,27919067,ASD,
DDHD2,Positive association,32366953,"ASD, ADHD, BPD, MDD, SCZ",
DDHD2,Primary,32747698,ASD,
DDHD2,Support,35982159,ASD,
DDHD2,Support,37506195,ASD,
DDHD2,Support,38316990,,
DDX11,Highly Cited,10882484,,
DDX11,Recent Recommendation,1662384,,
DDX11,Primary,16709250,ASD,
DDX23,Support,25363768,ASD,
DDX23,Primary,34050707,DD,"ASD or autistic features, epilepsy/seizures"
DDX3X,Support,25363768,ASD,
DDX3X,Primary,26235985,ID,ASD
DDX3X,Support,27159028,ID,
DDX3X,Support,27479843,ID,
DDX3X,Support,28263302,ASD,
DDX3X,Support,28327206,"DD, ID","Epilepsy/seizures, microcephaly"
DDX3X,Support,28333917,"DD, ID",
DDX3X,Support,28371085,"ID, epilepsy/seizures","Hypotonia, microcephaly"
DDX3X,Support,28554332,ID,
DDX3X,Support,29100083,Epilepsy/seizures,DD/ID
DDX3X,Support,29346770,ASD,
DDX3X,Support,29490693,X-linked mental retardation-102 (MRX102),
DDX3X,Support,30349862,X-linked mental retardation-102 (MRX102),
DDX3X,Support,30564305,ASD,
DDX3X,Support,30936465,X-linked mental retardation-102 (MRX102),Autistic features (hand stereotypies)
DDX3X,Support,31130284,"ID, ADHD","Autistic features, stereotypies"
DDX3X,Support,31231135,ID,
DDX3X,Support,31274575,X-linked mental retardation-102 (MRX102),
DDX3X,Support,31398340,ASD,
DDX3X,Recent Recommendation,32135084,X-linked mental retardation-102 (MRX102),"ASD, ADHD"
DDX3X,Support,32277047,ID,Marfanoid habitus
DDX3X,Support,32345733,Childhood apraxia of speech,"ASD, DD, ID"
DDX3X,Support,32530565,DD,
DDX3X,Support,32714884,"Intellectual developmental disorder, X-linked, syn","DD, ID, epilepsy/seizures, stereotypy"
DDX3X,Support,33004838,"ASD, DD, ID",
DDX3X,Support,33590427,ASD,
DDX3X,Support,33619735,DD,"ASD, ID"
DDX3X,Support,33993884,X-linked mental retardation-102 (MRX102),"ASD, DD"
DDX3X,Support,34344536,"Intellectual developmental disorder, X-linked, syn",
DDX3X,Support,34356170,"ASD, ID",DD
DDX3X,Support,34580403,"ADHD, DD, ID",
DDX3X,Support,34615535,ASD,
DDX3X,Support,34948243,"ASD, ID",
DDX3X,Support,35183220,"DD, ID",
DDX3X,Support,35326346,"ASD, DD",
DDX3X,Support,35390071,"DD, ID",
DDX3X,Support,35392274,"DD, ID","ASD, epilepsy/seizures"
DDX3X,Support,35588748,,
DDX3X,Support,35741772,ASD,
DDX3X,Support,35762573,,
DDX3X,Support,35887114,"DD, ID",
DDX3X,Support,35982159,ASD,
DDX3X,Recent Recommendation,36879130,Arachnoid cysts,"ASD, DD"
DDX3X,Support,36943625,ID,DD
DDX3X,Support,36973392,ASD,
DDX3X,Support,36980980,"DD, ID",
DDX3X,Support,37007974,ASD,
DDX3X,Support,37463579,"DD, ID","ASD, epilepsy/seizures, stereotypy"
DDX3X,Support,37799141,DD,
DDX3X,Recent Recommendation,37904618,"DD, ID","ASD, ADHD"
DDX3X,Support,38177409,ID,
DDX3X,Support,38328757,Epilepsy/seizures,"DD, stereotypy"
DDX3X,Support,38438125,DD,"ASD, ADHD, epilepsy/seizures"
DDX53,Primary,20531469,ASD,
DDX53,Support,23275889,ASD,
DDX53,Support,23632794,ASD,ID
DDX53,Support,35982159,ASD,
DDX53,Support,37007974,ASD,
DEAF1,Support,21076407,ID,
DEAF1,Support,23020937,ID,
DEAF1,Support,24668509,ID,Epilepsy/seizures
DEAF1,Primary,24726472,ID,ASD or autistic behavior
DEAF1,Support,25167861,ID,
DEAF1,Support,25363760,ASD,
DEAF1,Support,25533962,Unknown diagnosis,
DEAF1,Support,26048982,"ID, epilepsy/seizures, autistic behavior","Dyskinesia, absent speech"
DEAF1,Recent Recommendation,26401017,ASD,
DEAF1,Support,26834045,ID,Microcephaly
DEAF1,Support,27848944,"ASD, ID, structural brain abnormalities",
DEAF1,Support,28628100,ASD,
DEAF1,Support,28940898,ID,"Epilepsy/seizures, ASD"
DEAF1,Support,29366832,ASD,
DEAF1,Support,30763456,ASD,
DEAF1,Recent Recommendation,30923367,"Autosomal dominant mental retardation-24, Dyskines",ASD
DEAF1,Support,31209962,"ID, ASD or autistic traits",
DEAF1,Support,31981491,ASD,
DEAF1,Support,32094338,ASD,
DEAF1,Support,33739554,"DD, ID","ADHD, autistic features"
DEAF1,Support,34800434,ASD,"DD, ID, epilepsy/seizures"
DEAF1,Support,35741772,ASD,
DEAF1,Support,35873028,"DD, ID, epilepsy/seizures",
DEAF1,Support,35981081,"ASD, DD",Epilepsy/seizures
DEAF1,Support,35982159,ASD,
DEAF1,Support,36980980,"DD, ID",Autistic features
DEAF1,Support,37393044,ASD,
DEAF1,Support,37506195,ASD,
DEAF1,Support,37543562,ASD,"DD, ID"
DEAF1,Support,38025430,ASD,
DEAF1,Support,38073621,"Vulto-van Silfout-de Vries syndrome, ASD, ADHD, DD",
DEAF1,Support,38256266,ASD,"ADHD, BPD, OCD, ID, learning disability"
DENR,Primary,22495311,ASD,
DENR,Recent Recommendation,27239039,ASD,
DENR,Support,30679432,ID,ASD
DENR,Support,34016977,ASD,
DEPDC5,Primary,23542697,Epilepsy,"ASD, ID, SCZ, OCD"
DEPDC5,Support,23542701,Epilepsy,
DEPDC5,Support,24585383,Epilepsy/seizures,"ASD, ID"
DEPDC5,Support,27864847,Epilepsy/seizures,
DEPDC5,Support,29075622,ASD,
DEPDC5,Recent Recommendation,29481864,,
DEPDC5,Support,29761115,,
DEPDC5,Support,29861134,,
DEPDC5,Recent Recommendation,30093711,Familial focal epilepsy with variable foci-1 (FFEV,ASD or autistic features
DEPDC5,Support,30945278,Epilepsy/seizures,
DEPDC5,Support,31139143,"ASD, epilepsy/seizures",
DEPDC5,Support,31178897,Epilepsy/seizures,
DEPDC5,Support,31452935,ASD,
DEPDC5,Support,34145886,"DD, epilepsy/seizures",
DEPDC5,Support,34356170,ID,"DD, epilepsy/seizures"
DEPDC5,Support,35205252,ASD,
DEPDC5,Support,35571021,Epilepsy/seizures,
DEPDC5,Support,35982159,ASD,
DEPDC5,Support,37541188,Epilepsy/seizures,
DEPDC5,Support,37543562,ASD,"DD, ID"
DEPDC5,Support,37799141,DD,
DEPDC5,Support,38328757,Epilepsy/seizures,ADHD
DEPDC5,Support,38411613,,
DGKI,Positive Association,21203819,Dyslexia,
DGKI,Primary,31398340,ASD,
DGKI,Support,31981491,ASD,
DGKI,Support,36702863,ASD,
DGKK,Primary,27233938,,
DGKZ,Primary,25549968,ASD,
DGKZ,Support,27513193,Multiple congenital anomalies,
DGKZ,Support,35982159,ASD,
DHCR7,Primary,11223857,Smith-Lemli-Opitz syndrome,ASD
DHCR7,Support,14659996,,
DHCR7,Recent Recommendation,16687448,,
DHCR7,Highly Cited,16761297,Smith-Lemli-Opitz syndrome,ASD
DHCR7,Recent Recommendation,17197219,,
DHCR7,Recent Recommendation,19016890,,
DHCR7,Support,25533962,Hearing impairment,
DHCR7,Support,26539891,ID,Microcephaly
DHCR7,Recent Recommendation,26998835,,
DHCR7,Recent Recommendation,27053961,Smith-Lemli-Opitz syndrome,
DHCR7,Support,28831199,ASD,
DHCR7,Support,28940097,DD,
DHCR7,Support,29271092,ASD,
DHCR7,Support,31178897,Smith-Lemli-Opitz syndrome,
DHCR7,Support,31674007,ASD,Macrocephaly
DHCR7,Support,33431980,ASD,
DHCR7,Support,35982159,ASD,
DHCR7,Support,38438125,"DD, epilepsy/seizures",
DHCR7,Highly Cited,9465114,,
DHCR7,Highly Cited,9653161,Smith-Lemli-Opitz syndrome,
DHX30,Primary,29100085,"DD, ID",Autistic features
DHX30,Support,31398340,ASD,
DHX30,Support,33644862,DD,
DHX30,Support,34020708,"DD, ID","Autistic features, stereotypy, epilepsy/seizures"
DHX30,Support,34145223,Neurodevelopmental disorder with severe motor impa,"DD, ID, autistic features"
DHX30,Support,34615535,ASD,
DHX30,Support,35982159,ASD,
DHX30,Support,36643085,"DD, ID, epilepsy/seizures","Autistic features, stereotypy"
DHX30,Support,37541188,"ASD, ID",
DHX30,Support,37543562,ASD,"DD, ID"
DHX30,Support,38025430,ASD,DD
DHX9,Support,25363768,ASD,
DHX9,Support,30564305,ASD,
DHX9,Support,35982159,ASD,
DHX9,Primary,37369308,"ASD, DD, ID",
DHX9,Recent Recommendation,37467750,"DD, ID","ASD, epilepsy/seizures, Charcot-Marie-Tooth diseas"
DIAPH3,Highly Cited,15668168,,
DIAPH3,Highly Cited,16439214,,
DIAPH3,Recent Recommendation,18044991,,
DIAPH3,Recent Recommendation,18516090,,
DIAPH3,Recent Recommendation,19380880,,
DIAPH3,Recent Recommendation,19457867,,
DIAPH3,Primary,20308993,ASD,
DIAPH3,Support,22738016,Epilepsy,ADHD
DIAPH3,Support,23375656,ASD,
DIAPH3,Recent Recommendation,27848932,,
DIAPH3,Positive Association,28540026,ASD,
DIAPH3,Support,31398340,ASD,
DIAPH3,Support,33951346,Epilepsy/seizures,ASD
DIAPH3,Support,35205252,ASD,
DIAPH3,Support,35982159,ASD,
DIAPH3,Support,37506195,ASD,
DIP2A,Primary,22542183,ASD,
DIP2A,Recent Recommendation,25363768,ASD,
DIP2A,Recent Recommendation,26401017,ASD,
DIP2A,Support,26402605,ASD,
DIP2A,Support,27824329,ASD,
DIP2A,Support,30564305,ASD,
DIP2A,Support,31600191,ASD,
DIP2A,Support,31981491,ASD,
DIP2A,Support,32094338,ASD,
DIP2A,Support,34615535,ASD,
DIP2A,Support,35982159,ASD,
DIP2A,Support,36227200,ASD,Anxiety
DIP2A,Support,37393044,ASD,
DIP2A,Support,38292475,,
DIP2C,Primary,25363768,,
DIP2C,Recent Recommendation,28263302,ASD,
DIP2C,Support,31873310,ASD,
DIP2C,Support,33679889,ASD,"DD, ID"
DIP2C,Support,35982159,ASD,
DIP2C,Support,38300321,Developmental language disorder,
DIP2C,Recent Recommendation,38421105,DD,"ASD, ADHD, ID, epilepsy/seizures"
DIPK2A,Primary,18621663,ASD,
DIPK2A,Recent Recommendation,23840464,,
DIPK2A,Support,23879678,ASD,
DISC1,Highly Cited,12812986,,
DISC1,Highly Cited,16293762,,
DISC1,Recent Recommendation,17481393,,
DISC1,Primary,17579608,ASD,Asperger syndrome
DISC1,Recent Recommendation,17825401,,
DISC1,Recent Recommendation,18317464,"SCZ, BPD",
DISC1,Recent Recommendation,18762802,,
DISC1,Recent Recommendation,19077115,,
DISC1,Recent Recommendation,19188535,,
DISC1,Recent Recommendation,19191256,,
DISC1,Support,19606485,ASD,
DISC1,Recent Recommendation,19778507,,
DISC1,Support,20002455,ASD,MR
DISC1,Recent Recommendation,20139976,,
DISC1,Recent Recommendation,20188653,,
DISC1,Recent Recommendation,21471969,,
DISC1,Positive Association,21569632,ASD,
DISC1,Recent Recommendation,22385968,,
DISC1,Support,22495306,ASD,
DISC1,Support,23375656,ASD,
DISC1,Recent Recommendation,23439118,,
DISC1,Positive Association,23732877,MDD,"SCZ, BPD"
DISC1,Support,24126926,"ASD, SCZ",
DISC1,Recent Recommendation,24516667,,
DISC1,Support,25363768,ASD,
DISC1,Recent Recommendation,25821909,,
DISC1,Recent Recommendation,26299970,,
DISC1,Recent Recommendation,26301809,,
DISC1,Recent Recommendation,26553875,,
DISC1,Recent Recommendation,26728564,,
DISC1,Recent Recommendation,26728762,,
DISC1,Recent Recommendation,26976042,,
DISC1,Recent Recommendation,29643329,,
DISC1,Recent Recommendation,29643356,,
DISC1,Support,35982159,ASD,
DISC1,Support,36881370,ASD,
DISC1,Support,37506195,ASD,
DISC1,Support,38438989,,
DIXDC1,Support,20624590,,
DIXDC1,Support,22832659,,
DIXDC1,Primary,27752079,ASD,"SCZ, BPD"
DIXDC1,Support,27829159,ASD,
DIXDC1,Support,35982159,ASD,
DIXDC1,Support,37506195,ASD,
DLG1,Primary,25549968,ASD,
DLG1,Support,27271353,"ASD, SCZ",
DLG1,Support,28867142,ASD,
DLG1,Support,31452935,ASD,
DLG1,Support,34356069,ASD,
DLG1,Support,35982159,ASD,
DLG2,Primary,25363760,ASD,
DLG2,Recent Recommendation,31398340,ASD,
DLG2,Support,35031607,,
DLG2,Support,35075790,,
DLG2,Support,35115661,,
DLG2,Support,35118804,,
DLG2,Support,35627244,ID,"ASD or autistic features, ADHD, ODD, epilepsy/seiz"
DLG2,Support,35667888,"BPD, SCZ",
DLG2,Support,35813072,ASD,"ADHD, DD, ID"
DLG2,Support,35966008,,
DLG2,Support,35982159,ASD,
DLG2,Support,37506195,ASD,
DLG2,Support,37705179,,
DLG2,Support,37860969,"DD, ID","ASD, ADHD, epilepsy/seizures"
DLG4,Primary,20952458,,
DLG4,Support,23020937,ID,"Epilepsy, ASD"
DLG4,Support,25533962,Unknown diagnosis,
DLG4,Recent Recommendation,25549968,ASD,
DLG4,Recent Recommendation,26247861,,
DLG4,Support,26350515,Cerebral visual impairment,"ASD, DD, ID"
DLG4,Support,27271353,"ASD, SCZ",
DLG4,Recent Recommendation,27479843,ID,
DLG4,Support,28191889,DD,
DLG4,Support,29460436,ID,ASD
DLG4,Support,30504930,ASD,
DLG4,Support,30577886,"ADHD, DD, ID, epilepsy/seizures",
DLG4,Support,31220273,ASD,
DLG4,Support,33004838,"ASD, DD",
DLG4,Recent recommendation,33597769,"DD, ID","ASD, ADHD, epilepsy/seizures"
DLG4,Support,34580403,"DD, ID",
DLG4,Support,35322241,"ASD, ID",
DLG4,Support,35982159,ASD,
DLG4,Support,36980980,"DD, ID",
DLG4,Support,37393044,ASD,
DLG4,Support,37524782,"DD, epilepsy/seizures",Autistic features
DLG4,Support,37525972,"ASD, ADHD, DD, ID, epilepsy/seizures",
DLG4,Support,37543562,ASD,"DD, ID"
DLG4,Support,38182567,"ASD, ADHD",Developmental regression
DLG4,Support,38438125,"ADHD, epilepsy/seizures",
DLGAP1,Support,25533962,Unknown diagnosis,
DLGAP1,Primary,25549968,ASD,
DLGAP1,Support,27271353,"ASD, SCZ",
DLGAP1,Support,27824329,ASD,
DLGAP1,Support,28191889,ASD,
DLGAP1,Support,29396406,,
DLGAP1,Support,30564305,ASD,
DLGAP1,Support,31452935,ASD,
DLGAP1,Support,31771860,OCD,
DLGAP1,Support,33431980,ASD,
DLGAP1,Support,34582790,DD,
DLGAP1,Support,35982159,ASD,
DLGAP1,Support,37543562,ASD,"DD, ID"
DLGAP2,Highly Cited,15207911,,
DLGAP2,Recent Recommendation,18055845,,
DLGAP2,Primary,18252227,ASD,
DLGAP2,Recent Recommendation,19640847,,
DLGAP2,Support,20531469,ASD,
DLGAP2,Support,23915500,ASD,
DLGAP2,Support,24410847,ASD,
DLGAP2,Support,25363760,ASD,
DLGAP2,Support,25363768,ASD,
DLGAP2,Recent Recommendation,26401017,ASD,
DLGAP2,Support,26845707,ASD,
DLGAP2,Support,27271353,"ASD, SCZ",
DLGAP2,Support,32372567,ASD,
DLGAP2,Support,32477112,ASD,
DLGAP2,Support,33925474,"ASD, ADHD",
DLGAP2,Support,35205252,ASD,
DLGAP2,Support,35982159,ASD,
DLGAP2,Support,37007974,ASD,
DLGAP3,Highly Cited,10527873,,
DLGAP3,Primary,17713528,,
DLGAP3,Positive Association,19051237,Grooming disorders,
DLGAP3,Support,19096451,OCD,
DLGAP3,Support,21145461,,
DLGAP3,Positive Association,21184590,TS,
DLGAP3,Support,21295225,OCD,
DLGAP3,Recent Recommendation,23414593,,
DLGAP3,Recent Recommendation,23754400,,
DLGAP3,Support,31038196,ASD,
DLGAP3,Support,35982159,ASD,
DLGAP3,Support,37506195,ASD,
DLGAP4,Support,10527873,,
DLGAP4,Primary,30664629,,
DLGAP4,Support,35585091,DD,Cortical malformations
DLGAP4,Support,35982159,ASD,
DLL1,Primary,25418537,ASD,
DLL1,Recent Recommendation,31353024,"DD, ID","ASD, epilepsy/seizures, hypotonia, abnormal brain "
DLL1,Support,35205252,ASD,
DLL1,Support,35982159,ASD,
DLL1,Support,37492102,ASD,
DLL1,Support,37543562,ASD,"DD, ID"
DLX1,Highly Cited,12050665,,
DLX1,Recent Recommendation,16007083,,
DLX1,Recent Recommendation,17678855,,
DLX1,Primary,18728693,ASD,
DLX1,Recent Recommendation,19026749,,
DLX1,Recent Recommendation,19386638,,
DLX1,Support,31130284,ASD,Speech delay
DLX1,Highly Cited,9247261,,
DLX1,Highly Cited,9334308,,
DLX2,Highly Cited,12050665,,
DLX2,Recent Recommendation,17678855,,
DLX2,Recent Recommendation,18562615,,
DLX2,Recent Recommendation,18697905,,
DLX2,Recent Recommendation,18706405,,
DLX2,Primary,18728693,ASD,
DLX2,Recent Recommendation,19026749,,
DLX2,Recent Recommendation,19386638,,
DLX2,Highly Cited,7590232,,
DLX2,Highly Cited,9247261,,
DLX2,Highly Cited,9334308,,
DLX3,Primary,25363768,ASD,
DLX3,Recent Recommendation,30559488,,
DLX3,Support,33004838,"ASD, DD",
DLX3,Support,35982159,ASD,
DLX6,Highly Cited,12193642,,
DLX6,Highly Cited,15608638,,
DLX6,Highly Cited,16137622,,
DLX6,Recent Recommendation,17420000,,
DLX6,Recent Recommendation,18276760,,
DLX6,Recent Recommendation,18326838,,
DLX6,Primary,19195802,ASD,
DLX6,Recent Recommendation,20702565,,
DLX6,Support,28344757,ASD,
DLX6,Support,35982159,ASD,
DMD,Primary,16417872,Duchenne muscular dystrophy,ASD
DMD,Recent Recommendation,17108972,,
DMD,Recent Recommendation,17450125,,
DMD,Recent Recommendation,18056690,,
DMD,Recent Recommendation,18354150,,
DMD,Recent Recommendation,19109891,,
DMD,Positive Association,19404256,ASD,
DMD,Recent Recommendation,19818935,,
DMD,Support,20531469,ASD,
DMD,Positive Association,22050706,ASD,
DMD,Support,22796527,"DD, ID","ASD, ADHD"
DMD,Positive Association,22935194,ASD,
DMD,Recent Recommendation,23185011,,
DMD,Support,23275889,ASD,
DMD,Support,23352160,ASD,
DMD,Support,23632794,ASD,ID
DMD,Support,23849776,ASD,
DMD,Support,23900271,ID,
DMD,Support,24066114,ASD,"ID, epilepsy"
DMD,Support,24126926,"ASD, SCZ",
DMD,Support,24690944,"DD, ID, ASD",MCA
DMD,Support,25167861,ID,
DMD,Positive Association,25227141,Cognitive function,
DMD,Support,25533962,Unknown diagnosis,
DMD,Recent Recommendation,25549968,ASD,
DMD,Support,25621899,ASD,
DMD,Recent Recommendation,25660133,,
DMD,Recent Recommendation,26081639,Duchenne muscular dystrophy,
DMD,Recent Recommendation,26365034,,
DMD,Support,26539891,ID,Microcephaly
DMD,Support,27667684,ASD,
DMD,Support,28867142,ASD,
DMD,Support,30923172,Duchenne muscular dystrophy,ID
DMD,Support,31134136,ASD,Duchenne muscular dystrophy
DMD,Support,32193494,ASD,
DMD,Highly Cited,3282674,,
DMD,Highly Cited,3319190,,
DMD,Support,34640386,"Duchenne muscular dystrophy, ASD, DD, ID",Epilepsy/seizures
DMD,Support,34773222,DD,
DMD,Support,35982159,ASD,
DMD,Support,37090938,"Duchenne muscular dystrophy, ASD, DD",
DMD,Support,37595579,ASD,
DMD,Support,37799141,DD,
DMD,Support,37805537,ASD,
DMD,Support,37929330,"Duchenne muscular dystrophy, ASD, DD, epilepsy/sei",
DMD,Highly Cited,8349731,,
DMPK,Highly Cited,10976074,,
DMPK,Highly Cited,14657503,,
DMPK,Primary,18228241,Myotonic dystrophy type 1,ASD
DMPK,Recent Recommendation,18272483,,
DMPK,Support,25363760,ASD,
DMPK,Support,25363768,ASD,
DMPK,Support,31398340,ASD,
DMPK,Recent Recommendation,32717741,ASD,"DD, myotonic dystrophy-1"
DMPK,Support,33526774,SCZ,
DMPK,Support,35982159,ASD,
DMPK,Support,37506195,ASD,
DMPK,Highly Cited,9563950,,
DMWD,Primary,28263302,ASD,
DMWD,Recent Recommendation,31452935,ASD,
DMWD,Support,35982159,ASD,
DMWD,Support,37506195,ASD,
DMXL2,Primary,25363768,ASD,
DMXL2,Support,25961944,ASD,
DMXL2,Support,28867142,ASD,
DMXL2,Support,30257206,TS,
DMXL2,Support,30504930,ASD,
DMXL2,Support,30732576,ASD or autistic features,"ADHD, behavioral problems"
DMXL2,Support,35205252,ASD,
DMXL2,Support,35982159,ASD,
DMXL2,Support,38374498,Epilepsy/seizures,
DNAH10,Primary,22542183,ASD,
DNAH10,Recent Recommendation,25363760,ASD,
DNAH10,Recent Recommendation,25621899,ASD,
DNAH10,Support,25961944,ASD,
DNAH10,Positive Association,28472652,Tourette syndrome,
DNAH10,Support,31398340,ASD,
DNAH10,Support,31771860,OCD,
DNAH10,Support,35205252,ASD,
DNAH10,Support,35982159,ASD,
DNAH10,Support,37506195,ASD,
DNAH17,Support,22495309,ASD,
DNAH17,Primary,25363760,ASD,
DNAH17,Support,25363768,ASD,
DNAH17,Recent Recommendation,28714951,ASD,
DNAH17,Support,31398340,ASD,
DNAH17,Support,31452935,ASD,
DNAH17,Support,33431980,ASD,
DNAH17,Support,35982159,ASD,
DNAH17,Support,37506195,ASD,
DNAH3,Primary,25961944,ASD,
DNAH3,Support,28714951,ASD,
DNAH3,Recent Recommendation,28831199,ASD,
DNAH3,Support,31398340,ASD,
DNAH3,Support,31452935,ASD,
DNAH3,Support,33432195,ASD,
DNAH3,Support,35982159,ASD,
DNAH3,Support,37506195,ASD,
DNAJC19,Primary,23116158,ASD,
DNER,Primary,22843504,ASD,
DNER,Support,23275889,ASD,
DNER,Support,31452935,ASD,
